Rating,Review
4.0,"Loved the food, veg and non-veg both is good here. Proper North Indian food, loved the pulao and lassi. Lassi is a must have!! Do try the specials and chicken Anghara for spicy North Indian flavours."
5.0,Tasty food nice staff and good vibes when you enter the floor restra make me feel like have a good authentic north indian food out side of north india and taste was same whenever i visited there
5.0,"Nice ambience and delicious food. Must visit Punjabi restaurant in Bangalore. Service was really nice , do try Malai Kabab. It would have been much better if music was loud."
5.0,It was really great experience here. The hotel has really nice appearance. The taste of food was great and services were also great. We would love to come here again.
4.0,"Nice place to eat and hangout with friends and family on weekend. I visit regularly. Food is delicious. Courteous staff . I ordered simply food like fulka, bhindi do pyaza masala papad. Lassi is mouth watering. Little costly ."
4.0,I had been to this restaurant 2 times. The food was delicious both the time. The ambiance was also very good and the Brookfield branch has a roof top serving area. I was not comfortable with the sitting arrangement though.
5.0,Like the food. Food is great. We have ordered Stuffed Kulcha butter naan and Paneer Kofta. We got the food very fast.So overall service is excellent. ambience is also grt.
4.0,"Nice place with outdoor sitting arrangement The lassi was really nice and thick, and we had ordered chicken kadai and phulka. Both were very good, a little spicy. The music is catchy."
4.0,Food was good specially garlic chicken andbaby chilly Afagani chicken was average Veg curries was a bit spicy Mushroom masala tasted good. Nice experience
4.0,Ambience is really nice. Service staff was polite and quick. If you are interested in dhaba ambience with good food. This is a nice place to visit.
5.0,Very nice food. Very lovely ambience and the management was also very good. They serve vety delicious paan in the end. Very hygenic place and feels like home
4.0,"Once you get your seats and the food starts rolling in, this place is awesome! The food here is so yummy and the lassi is a must try!  It is great for going with a bunch of friends or even with your office team.It has a dhabha setup up and It is light on the pocket for delicious food. However, the only disappointment is the waiting time and the space crunch."
4.0,The taste and quality of the food is good and is a good place to have pleasant evening. It's a rooftop area and get a dhaba feeling. Recommend to visit.
5.0,"Food was good, tasty , and fentastic hospitality  Staffs are humble and customers are treated excellently  Food was excellent  Try having tandoori chicken  And mutton Biryani is awesome  You will be amazed"
5.0,very nice food taste like a home and rotis are very soft . ambience is good . In eggs recepy try egg punjabi masala its very nice . lassi is awsome
5.0,We have been to here for the treat..the food quality is awesome and restaurant is maintaned with much cleanliness..the food is served very properly
5.0,Food is fantastic . Ordered sheek kabab chicken yum yum.chicken masatana gravy is a special dish which is fantastic with garlic naan overall great experience but as it is summer if a.c would have been there more comfortable.
5.0,"Liked the food, especially khullad lassi. Vegetarian food is also awesome. Great place to hangout. Ambience is soothing. Friendly staffa nd good service"
4.0,Tasty food with good ambiance.staff was very good.service was fast.fully enjoyed with my team.we will love to come again and again with family and friends.
4.0,"Love the place, authentic punjabi food. Lassi is a must try! Chicken angara n tandoori roti is heaven!! Do try their specials. We had dhaniya kabab...was so different and interesting."
5.0,Food is delicious and authentic. Ambience is pleasant and good. Enjoyable atmosphere for a team dinner. Affordable prices. Top of checklist for non veg. Don't forget to end up with Lassi!!!!
4.0,The ambience is very nice and the service is excellent. The food is delicious and served hot. My experience has been good and I would definitely recommend this to people loving north indian food.
5.0,The place is as awesome as it sounds. The ambience is Punjabi style. They have open terrace / rooftop dining. Food is awesome . You can feel the taste of home food. A must try :  Masala papad Chicken kadhai Chicken butter masala Missi roti
4.0,"Consistently good food. Love the lemon chicken, Tikka masala and roti was very good. Came here for a office outing and my team loved the food."
4.0,The ambience is good and different. There are cots to make it look like highway dhabas. The food is good but too much crowd and cramped space makes the food experience bit down. The price is bit higher than similar restaurant but definitely worth a try
2.0,"I found it very crowded and noisy, visited on Sunday evening. Its was like let's finish here as quickly as possible. They should put AC at least. Food quality was ok ok only"
4.0,Food was good. Service was excellent. We had great Lunch. This place has open terrace like rooftop. It is recommended for vegetarians and non vegetarians. The best part was we were served with pan at the end of service. Also buttermilk and Lassi is amazing.
1.0,Apart from location as it's opposite to Bagmane nothing else will tempt you to visit this place again.. the food was tasteless with no spices added..  Full money waste.. Not recommended at all
4.0,Nice food. Taste is good. Service is good.Worth vising this place. Paan and lassi are the special here. Budget per person is 300-400. Worth going
5.0,"Nice ambience , awesome songs and good food  rocking place ,had fun time ,good for one more visit,Nice ambience , awesome songs and good food  rocking place ,had fun time ,good for one more visit"
4.0,"Nice ambience with authentic feel of dhaba courtesy, setup of tables. Good options of food specially starters. Courteous staff attending everyone. Overall good experience."
4.0,Amazing food n love the lassi here great service by Purnav Singh. I tried veg food today n everything that v ordered was served on time and great stuff.
5.0,"ambiance and food is very good, good place for fine dining and casual hangout. Music collection is from 90's. Must try Lassie one of the best in the area."
5.0,"Superb place!! Must go!! Nd chicken angara  Must try, personally recommending!! Nd after all ice pan  If u r with family u will get the full feeling of dhabas if u get cot!! Nd u also end up with Punjab Di Lassi"
5.0,Super food and super service and have nice time with friends and family .. perfect place for perfect food . Had great time and enjoyed with my team with hygienic food
5.0,"We had a great time having food here. We had butter roti, reshmi kabab, panner butter masala, lassi. Quality is too good. We recommend spending your time here"
4.0,Starter is very tasty and hostility is very good Stuff kulcha is good . But chicken Amritsari is over spicy . It's a pleasant experience to be here ....
5.0,Food quality is good .................. Food quantity is good................ Abiance is good................ Service is good.................. Food quality is good .................. Food quantity is good................ Abiance is good................ Service is good..................
4.0,The food was good and tasty and the ambience is great..The kulhad lassi was very nice and an innovative way of serving it!! Worth another visit..
1.0,The food was very bad. The chicken in the rice was not washed properly and had very bad smell. Please don't ever deliver such food else we will get food poisoning.
4.0,Food is nice. Roti items and starters is good. Main course also nice. Service is good and lassi also nice. One of the best is pan . Its location near to itpl.
1.0,"This is the place where I had worst Punjabi Food of my life. I dont think they even eat food cooked by themselves. I went along with my Punjabi friend, we have ordered a Dal Makhani & Shahi Paneer, trust me, the food didnt even have traces of punjabi essence, let alone the taste.  They should rather replace punjabi interior with cocunut trees and start serving food on banana leaf, because their taste is more of South.  Food Taste: 0/10 Interior: 10/10 Service: 9/10 Waiters: 10/10 Quality(Hygiene, freshness): 10/10 Price: No Justification against quality, way too high. Zomato Rating: Much much over-rated"
5.0,"Very nice place especially the food is quite good and service as well , since it was an team dinner we had lot of fun and time just passed when we had starters"
5.0,"Good mutton Lahori , sweet lassi and , paneer burji , in bread kulcha is a good option. In the they pan which is good, but charged separately. Overall good experience. I"
5.0,"Food is awesome,  delivery is also quiet good. Try lemon chicken and Mushroom Manchurian are very good. Afghan chicken is overrated. Rates are little bit high."
5.0,"Good Food!!! Perfect for team lunch!!! Try the Gilab jamun, dal tadka & ghee chapattis ......super!!!!!!!!!! Do t forget to have the paan, which is made right in front of you"
4.0,"Good food with awesome lassie, must try panner tikka and desi ghee phulka, quite good ambience. Come along with your family and kids and enjoy."
5.0,Food quality and quantity is good .. i went with my ofc colleague.. taste is good and everyone should try lassi.. you will get many options in veg and chicken..
5.0,"Good quality food, nice ambience.. loved almost everything that we ordered. Masala papad and kulhad lassi are must try. A must visit place if you like North Indian food."
5.0,It was a very nice experience visiting CCDD. The food was great and the service was also awesome. Will be definately paying a visit again.  Keep up the good work..!!
5.0,It was good food and ambiance to have. Nice place to hang out with team and friends. Staff was nice and supportive while giving the order.....
5.0,"Lovely food , great ambience, perfect dhaba style in city a must visit place. Must try ist their masala soda And the pan here is amazing...."
5.0,Good food authentic . Timely service.Tasty food liked it very much very pleased would like to visit again .The service was good Good food authentic . Timely service.Tasty food liked it very much very pleased would like to visit again .The service was good
5.0,"Food was tasty. Good place to eat with friends and family. Good ambience, nice staff , food was served hot and good , appreciate the staff and foood"
5.0,Hunger Saviour in affordable price .. Food is too yumm and service is also good. I have been here for uncountable time and never disappointed .
5.0,"Good ambience, food was very delicious and good serving, especially at the last the kulhad sweet lassi was too yummy, good for team outings and with family"
5.0,"Loved everything here... Chicken starters, (malai kabab, chicken Tikka.) panneer chilly.. Especially the service is really good..and the ambience!"
4.0,Good place and tasty food forever recommended this place for all dear friends must visit this place and taste the delicious food depends on your wish.
3.0,"I have ordered the food from here after reading the reviews, but I am very unsatisfied with packaging as it was not good at all . The restaurant had packed the gulab jamun which were already broken ."
5.0,Very nice food! Lied the ambience and menu is having good options. Nice place to be. Lassi and pan at the end is memorable. Staff is very good with very very good service. Amazing experience. Karan was very cheerful. Good experience all together.
5.0,"I had awesome lassi, had a nice dinner with family in chuljha chauki da dhaba. Foods are very testy. Service is also amazing. I would like to management to kindly arrange car parking."
5.0,We visited this place for lunch. The place has lots of variety for veg and non veg alike. The staff is couteous enough and the service is fast. do visit for affordable dhaba style food.
5.0,Good place to hangout for short team gatherings. Staff and serving is good. Order was quick and tasty. Very good place for team lunches and parties
