Rating,Review
2.0,"Its a family place and food is not up-to the mark. I ordered dal makhani (not good), bread basket, malai kofta (okay).Overall experience was not so great, thought that north Indian food will be delicious."
5.0,Staff were friendly Guru and Piyush . nice ambience Food was good and we got Jain food also which was our major requirement. Nice place to have food. Highly Recommend
4.0,"Visited this place while roaming around in Indiranagar for a quick snack. Although it was about to close for dinner preparations, they welcomed us and took good care of us. If you ever have the craving for some ""Desi"" UP style food(veg of course), then this is the place to go. The decor is a little bit too much but the service and food are very good.  #Food: 4 #Service: 3.5 #Ambience: 3 #Value for money: 3.5"
4.0,Good option if you're looking for a pure vegetarian restaurant. Taste is also good. I would suggest to add on more options to the menu. Ambience is great. Quite cozy and peaceful.
5.0,"The place has an amazing feel, super royal. The food was great!! The server was super sweet. His name was guru! I highly recommend the lassi!!"
5.0,"Great place for some good food. Turned out to be a pure veg restaurant, an added bonus. Loved the starters.. the drinks served were heavy and the food was just right.. the place gets crowded very fast. The food and the ambiance fit perfectly. A must visit, booking a table in advance helps. Zomato Gold is also useful here.  Courteous staff, prompt service. Thanks.,"
5.0,"Tasty food and good staff, the only thing is the dont serve non-veg.  Overall the food was good and service was quick. Nice ambiance as well"
5.0,Very good food and hospitality. The food ignites the core Java Indian taste. Very good hospitality by Sultan. Very helpful and energetic. The mung dal halwa is best in town.
5.0,The food was really good and service was very prompt !They were very hospitable .There is a nice ambience .The service is too fast .Must try
5.0,"This place is one of our favourites. Gali Parantha wali combo with paneer paratha is just outstanding. Extremely courteous staff with quick service. Call for Mr. Nath, and you will be well taken care of."
1.0,"Everything that we wanted to order was not available-exotic sizzlers, tostados, broccoli pesto,etc. Most of dishes which were written as jain were not prepared in Jain style. The restaurant is rated 4.4 to only mislead outsiders."
5.0,Best quality Delhi flavoured food available in Bangalore. Liked the varieties offered plus a great ambience makes it worthy to spend a quality dinner time. Must try dish is Dal makhani
5.0,Awesome food..lovely place....awesome ambience...simply loved it.. well trained staff...Rehman (staff who served us) is really so cooperative and friendly.........must visit
4.0,"Environment, crowd and setup is good. In food Platters are the ones to must haves. Lassi was a bit sour, might be due to curd quality, that gave a weird taste of Lassi. So better go for thandai. We ordered paneer lababdar, it was completely tomato based curry and was missing garlic and onion or even any taste of spices. It was missing the actual taste of paneer lababdar. Service and customer management is very good.They all are soft spoken and you will have a pleasant visit. The person responsible for handling our table, Sultan, is a star..treat him with a smile"
4.0,The interiors are beautiful.  Its a vegetarian restaurant (we found out after we saw the menu)  Paneer Tikkas were great.  A must visit for all the vegetarian folks!
5.0,"Really loved the place and the food. The ambiance is amazing, very royal Rajasthani/ Mughal touch to. The food was delicious and decently priced. The service was outstanding and people were polite too."
5.0,Best vegetarian place in bengaluru for North indian cuisine. new experimental dishes with amazing taste.the best thali u will find in the city . go for it u will enjoy the experience. Good ambience but gets crowded easily. So go for an early reservation.
3.0,"The restaurant is very much overrated. I had lunch with my wife this Saturday at this place. I was excited to go to this place with the ratings and reviews, but was disappointed with the lunch finally. We ordered A-la-carte. I actually was surprised to see that they don't have Gobi in their curry menu. The food tasted bland. Only savior were paneer tikka and aloo tikki chaat. The ambiance was as well moderate with wall paintings round the place.  On the whole, not so great experience!!!"
5.0,"Good food. Nice service, recommend for dinner, the chats are good and overall it is good. Guru and Salman served us with best services. A must place to visit in indiranagar"
5.0,We went to the delhi highway and eat 3 north indian subji out of which veg kadai was the really really good option choosen by us. Also the other two subjis was good. Staff was very friendly and ambiance of delhi highway is excellent.
3.0,"Nice ambience. Taste was okay, similar to North India, but kinda pseudo-Delhi. Everything is heavy, like too much oil and too much paneer. But still better than other so-called North Indian restaurant. Wait time today was 45 minutes for us. Even others who had booked table online had to wait before getting table. Overall it was okay types."
5.0,Great service by sultan and rehman. Got a complimentary dessert at the end of the meal. Would gladly come here again for more brunches. Sunday funday
5.0,"Starters were really awesome... best in vegetarian food... Delhi spices... Service is really quick... Dahi seekh kebab, paneer tikka, langar wali dal, stuffed kulchas are way beyond in tastes"
5.0,"Mr Nath N Ranjan has provided a great service. Items to try Paneer Lahori, Paneer Lababdar, Panner Tikka. A must try place for all. Brings the real authentic experience"
4.0,"We visited on a Sunday afternoon, and had lunch here. The ambience is excellent, as is the service. Dipun and Sankar made sure our experience was pleasant.  I have to say we both found the food just decent. The desserts were good."
5.0,"We had a pleasent time at Delhi highway. The ambience was excellent. Our host, Dipun was very polite and a good host. Must try drink is kesari Tahndai"
5.0,"A pure veg family restaurant with delicious food, friendly staff, faster service, reasonable price and an unforgettable experience. Advance table booking is recommended."
5.0,The ambience and food was amazing. Enjoyed the aloo tikki chaat. Naram dil kababs were the best. Service was fast and Mr.Sultan and Mr.Dipun were very efficient. Will come back again.
5.0,"Very nice food and excellent service, especially by Mr. Sultan. The paneer tikka was very well prepared and the veg kadai was very tasty as well."
5.0,I love to come back to this place again and again. Amazing food and services. Highly recommend to book table before visiting. Special thanks to Raman and Sufiur.
4.0,"Visited for lunch. The food was very good and so was the service, especially by Mr. Ranjan Nath. Also, you get to use Zomato gold!! Do visit!"
5.0,"Nice place with good food, tried the thali. Good proportions, soup here is really good and great service from Sultan. Would recommend visiting with family."
5.0,"Good food , service and ambience . The paneer staters and gravy was fabulous. Dipun and Salman service was excellent. Worth visiting Delhi ."
5.0,Paneer Tikka and kadai aloo is very good.Kulchas melt.Rahman service was really good.Shahi tukda was tasty too .over all service very good will surely come back
5.0,Service by mr nath Panner tikka too good for Delhi taste spicy lovers ambience is good lachha Paratha is also good veg paneer is also good done
5.0,Great food and services......nice ambience and polite staff.....must visit place.....special thanks to MR. Guru and his assistant Salman for wonderful services.
5.0,Friendly staff. Great food. Must visit. Mr. Guru and his assistant Salman were extremely helpful and very polite. Great service offered by them.
5.0,Lovely place. Great food. Nice staff. Overall enjoyed the evening. Recommended people to try this place. Would love to come back. Thanks Delhi highway for wonderful evening
5.0,Amazing food and excellent service. Really enjoyed and had a wonderful time and experience. Highly Recommended .Staff are also very friendly. Dipun and sultan were very friendly
4.0,The ambience is amazing. Food is upto the remarkable. Mr nath was warm and provided excellent assistance in choice of food. Dal makhni was good
5.0,"Ambience was really good, Service was fast and food was hygienic. Good place for family. Dipun and Salman were very good at providing servicing and polite."
5.0,Langar wali daal is a must  Very good service and awesome food. This is undoubtedly one of the best Indian restaurants in banagalore. Salmans service was really nice
5.0,"The food and the service is really nice , had an amazing experience . Mr.Nath , the dhai papadi chat was really nice , must try that , one of its kind ."
3.0,"We went to this place lookinh at the reviews in Zomato, however I feel the place is overhyped. No doubt they havegood variety of Delhi style street food - From Chole Bhature to Chur Chur Naan. The waiting time is too much so if you planning to go there specially during weekends, make online reservations."
5.0,Food is good. One should visit once and reach out to Guru for excellent service. Service was quick. Seats were also good. Ambience is also peaceful and nice. We enjoyed a lot. Must visit
4.0,Went there to dine with my family and the taste of authentic North Indian food was quite welcoming! Ambience on point too! Great for family gatherings!Recommended :)
5.0,Great food and very good service. The thali here is right on price and taste. Highly recommended for veg North Indian food! Thank you Salman for your service.
5.0,Rabadi jalebi was mind blowing...... Different twists with the food... Nice interior.... Pasta has a desi tadka.... Matar kulcha was actually good kulcha was made stuffed with green pees....
4.0,Enjoyed lunch with family... The service and quality of food was very nice. Must go place for North Indian cusine. Good ambience and friendly staff.
5.0,Lahori kabab must try...staffs were very polite and humble..nice place for family dinner.. the ambience was also very nice... All the items were very delicious
5.0,The service is great .Fingerlicking food.Lahori kebab is a must try here . Great experience fo North Indian food .The  services provided by Guru and Salman was  warm and very pleasant.Will visit again
5.0,Food is really good AND AWESOME.... Loved the service.... Sultan was specially good... Good for family. Nice environment. Good ambience. Pure vegetarian food.
4.0,"We visited delhi highway on 19th may 2019 on a sunday for dinner . The food quality is very good, we enjoyed our meal. Our waiter Mr.Guru made a very good service gesture , just suggest you to something about the waiting period to get a table , apart from that the food taste is amazing and the amabience is very royal ."
4.0,The food was good and excellent service by Guru. All the food we ordered was hot. Broccoli and Cream soup was an interesting concept. Really a must try dish.
5.0,"First visit based on the Google reviews it's impressive in some areas...let's try few more times ...good place to visit and good ambience  Good service from Salman  Reg, Manasa"
5.0,"Nice place nice ambience friendly staff, Mr Nath & Shankar is serving too good. Food must try Paneer & langhar wali daal always recommend this for vegetarian..."
5.0,"The staff is polite and courteous. We have come here a few times. Rehman was our attendant. I particularly like their quick service. The food is filling. We ordered three dishes for main course and cancelled one because we were done. Their food isn't heavy too. All in all, a great experience."
4.0,"Place was great, food is really delicious, authentic north indian cuisine. The service was also nice and staff was courteous. Would love to comeback again"
5.0,Amazing place to have Indian meal with family... Special mention of Rehman to give a wonderful experience. One of the finest North Indian delicacies served in Bangalore
4.0,"We visited Delhi highway for lunch on Sunday. The ambience of the place is great. Food is also very tasty and service is top notch, albeit a bit slow. We would like to specially thank Mr. Nath for his smiling service. Just reducing the rating by 1 point since pricing is a tad expensive on weekends for the food options provided."
5.0,"We were a group of 7 and had good time. Great ambience, amazing food. Starters were really good. Main course was nice. Staff was very courteous and polite."
4.0,The place is awesome for its ambience and the food tastes exceptionally good with decent portion size of starters and desserts as well. The service is good and the folks are pleasent smiling faces. I just found that it's slightly overpriced given the dishes (though very tasty) are not really exotic ones. Overall a good experience
4.0,"Good food... Good ambience! Great service by sultan and Dipun. We ordered Dal makhani, kadhai paneer and paneer a tikka. lt was good. Will visit this place again ."
5.0,"Great Food, Sultan and depun were our servers, Terrific service from those guys.  It's one of the best place, if you want to have good vegetarian food in Indiranagar."
5.0,Very nice food and service and specially thanks to Sultan and dipun for there service.. Very nice food and service and specially thanks to Sultan and dipun for there service..
5.0,"Nice ambience, Courteous staff and delicious food . Ordered Indo Mexican quesadillas and it was simply superb.. thanks Dipun for wonderful service."
5.0,"Nice food and service. Thanks Mr. Nath. The veg khadai is very good, the paneer butter masala was quite good, lacked a little spice. For starters we had the sheesh kabab which was not very good, the paneer tikka is a must try. The restraunt is very neat, and the service was very good"
5.0,Very good food. Service was very good. We really enjoyed our dinnee with Delhi Highway. We really liked their starters and chaats. Thank you Deepa
1.0,This one of the highest rated restaurant in Indiranagar area on Zomato. That's not true. We were a group of 10 people went to celebrate my wife's birthday and we made booking 8 days in advance. They took 25 minutes to give us a table. Service was extremely pathetic and food was below average. It took them 2 hours and 20 minutes to serve us 2 course meal.
5.0,Guru and Salman give good service and very nice atmosphere good food must taste the food there and have the lassi there it's different and also try desserts .......................
5.0,"Food was good and staff also very courteous sultan and deepun served us well. We ordered sizzler platter in stater, panner chef special and garlic naan.all tastes good"
5.0,This is a fantastic place for North Indian Food. Especially if you are looking for Jain options too. The chholle and the Chur Chur Naan are absolutely fabulous. Highly recommended.
