Rating,Review
4.0,Mouth-watering food which can satisfy your craving for North Indian cuisine.Perfect Dhaba kinda set up justifies its name truly. Recommended.
5.0,It's a wonderful place and have the mouthwatering North Indian which every north indian craves for. Please do visit if you are a North indian
5.0,Food is great so is drink. Great ambience. Hope they keep serving this good. A special thanks to Rantun for the great service. Its a must try place.
5.0,Great food. Super ambience. Amazing staff. A must visit for all north Indian lovers. Try the butter chicken and ya don't miss the dal makhani.
4.0,Must visit for once.. nice ambiance. Order food which you know by name ;) . Tasty food ... Nice experience... Please visit once.. served well by Rantun
1.0,"Not at all value for money, we ordered starters they were barely 4-5 pieces for which they charge around 350, taste was average. name is just dhabha prices are rocket high"
4.0,I went for lunch here.There was a puppet show going on.Ambience was nice and decent.We ordered dhaba style paneer tikka.It was ok.Then we ordered butter garlic naan and mushroom.For serving the main course they took almost half n hour.But to apologise for inconvenience caused to us they gave sweet dish as a complimentary item..Overall it was Average in terms of food but the staff was polite so thats y i am giving 4.
3.0,I love there ghost and lassi ... we once took a tiffin box meal. It was amazing and felt nice with there different serving style ..   And place is also extremely cool...Perfect gateway with friends
4.0,Lovely ambience lovely love lovely service! Dhaba ho dhaba ! Come alone and enjoy ur time! Must try is Mava de lassi and the rabdi... Served by Vijoy !
1.0,"Went for Buffet, I'm vegetarian. Starters and chaats were really bad. Worst panipuri and kachori I ever had. Gravies were bit uncooked, I could taste raw masalas. Desserts were okay, not too sweet. They should definitely improve on service. One of my colleagues went on call, when he came back his plate was taken away by waiter. Starters were not served as quickly. Complimentary drinks were not good at all. Don't recommend Buffet here."
4.0,For starters we had ordered Murg Chaapein which was from their summer special menu. The chicken was cooked to perfect and soft and tender. For mains we had ordered their Dhabe di roti which was very very soft  accompanied with Bhatinda chicken curry. Curry was ok nothing wow to my taste. Deserts we order Mawe di lassi which was very filling and loaded with Mawa and nuts. must try
4.0,"We went to this place just because we were way hungry. The ambience is really amazing. The staff is quick and responsive and very courteous. The food came. If Punjabi food is considered, taste wise it was just satisfactory, nothing amazing, taking into account we had better tasting food elsewhere. The Chicken Tangdi Kabab was nice. The cheese garlic naan was pretty awesome too."
5.0,Weep so FP XP FP HP do do FP do AI all cl cl cl so sip do DL XP do zip app weep do do FP do DL DL do FP do DL go DL cl cl cl cl FP do do FP do so do FP
5.0,Went here for Dinner.Vijay served us well there.Food was good.One of dish ordered Rara Mutton.Was Really Good.But I wish the pieces was little better.Over all Good place to go.
5.0,"Ambience is seriously good. Staffs are really polite and helpful. Food is really tasty and good. Also, got a surprise here is the form of free dessert. Would like to visit this place again."
1.0,Went for a la carte .. not a good choice and bad experience.. starters and main course not healthy at all.. while family suffered severe constipation later in the evening. Too many waiters will be around you but still getting someone to take order will be time consuming.
5.0,"This is one of the finest place I have visited. The food was really delectable and palatable. You can really feel the North Indian flavours. The staffwere very corteous and friendly. We had Bhatti Di Tangdi, Bhatinda Chicken Curry, Amritsari Kulcha, and each and every dish was a melony of flavors and then came the show stopper the dessert Dhabe Di Mittha. It was Bomb. Layers of happiness unfolded. A must try place. And most recommend"
5.0,Loved this place and it's ambience .... Really enjoyed with my friends and family ..... Must try murgh seekh tawa masala .... Very friendly and lively management :-)
5.0,Awesome food. Authentic taste of North Indian food. Just loved it. Price is a bit on the higher side as compared to the quantity. Staff were a bit slow.. May be due to full house place... But courteous
2.0,"Food be it vegetarian or Non vegetarian is decent, one you can get at any other good restaurant. I have given it 2 star because of ambience, rest deducting 3 stars is all because if price. Cost is so high that it beats any other eatery around, for ex..drink like Jaljeera or Aam Panna ,Lassi is around 200-250bucks. Your biggest disappointment would be ordering at home because the portion size further reduce down. Small Qty of Mutton curry and rice would cost you 329. Overall they really need to work on the prices of all dishes esp. when there isn't any Oomph factor in the food."
5.0,"Nice ambience, Great staff and yummy food. What else you want? Decent place to hangout. Tried murgh Sikh tawa masala,paneer Tikka, dal makhani, gulab jamoon."
5.0,Fabulous Hotel which is very very service oriented and maintains the authentic flavours of food. Love their Baigan Bhartha...Lip Smacking. Heard Chicken Biryani is awesome from my friends who relished it till last piece.
5.0,"One of the best restaurant in Bangalore.The food,service and the ambiance was very nice.Had a great evening.Good place for celebration a special occasion for group and couple also.The service staff was very friendly.Thanks to every one."
5.0,"Excellent!! This place serves one of the most authentic Punjabi food in Bangalore. The ambience is great... !! The service is great !! Food is awesome !! Perfect place for team outings, family outings or even if you are dating a foodie !! The quantity of the food served for the price taken is justified !! Don't miss the butter chicken or the lassi if you visit place !!"
5.0,"The Daal Makhni was to die for and while the other dishes were good too, the daal was a clear stand out. The interiors were designed nicely and in theme with the name, ""Dhaba""."
4.0,This place is colourful as expected. Food is delicious and have kathputhli performances too. But the service is slow and it's bit expensive. Ideal place for team outing or family lunch/dinner. And they service delicious lassi.
1.0,"Over priced food, not worth a visit without zomato gold, too expensive for middle class family to dine in, did not allow us to use two zomato gold ids as well, this is the first time we faced this issue. The butter nuns were overpriced and two small & thin compared to the price. Got almost zero service but charged almost 100 as service charge, which i feel is totally unjustified. Not a good experience. Will definetly not visit again."
5.0,"Great Ambience, Great Service, Great Food. Had a great evening here. We visited on a weekday and still the place was almost full Would recommend the place to anyone."
