Rating,Review
1.0,"We visited because we saw good reviews, but terrible service. The waiter who served us paneer tikka almost threw it in the plate that paneer jumped a couple of centimetres from plate. Waiter gave lot attitude for no reason. Served jeera rice absolutely cold. There is no provision for parking for the restaurant at all and you have to go behind the restaurant and park on the road.food taste was ok. Overall disappointing."
1.0,Staff people doesn't respect people coming over there. We went there and checked for table booking but no one was there at desk and the booking person seems not interested in our booking. So we directly went inside and asked for table to one staff member came and showed us the table. We sat there and waiting to order food. One person came and asked us to release the table because we were 4 and that table was for 6-8 and we didn't book the table prior. And asked us to go out and book a table again and come after half an hour. Such a rude behavior.
4.0,"Ambience- 4/5 Location-5/5 Food- 4/5 Staff- 5/5 Service- 5/5  "" Khamma gani saa. Chlo gaanv chale"" . Pure vegetarian restaurant. If you are looking for a ""gaanv( village)"" style feel, do visit this place. Staff will greet you with a feeling of ""guest is god"". Aam panna and thandai will definitely give you a very homely taste.  They have a serve as you cook system."
1.0,Horrible experience. Waste of money. Delivery boy was in very shabby dress and unprofessional. Food was just bad. DEAD FLY was found while opening the food pkt. You should close the restaurant state way. ZOMATO should not get degraded by giving affiliation to unprofessional guys.
5.0,"Service: The staff are so courteous and polite that they remind of you Rajasthani Maharaja treatment Ambience: As Gramin as it gets. The decor, dim lit, copper cutlery. Just perfect Food: Ordered Malai Kofta, Garlic Naan, Aloo paratha and curd. Everything was perfect, even the curds remind of you home :)  Just a tip: Go on weekend around 7PM to avoid long queue waiting outside for the yum food.  Summary: Value for money and more ! Loved it!"
3.0,Food is not that much tasty as much as it costs. Good Ambience. It was clean and doesn't have many items. Doesn't have so many types of starters.
4.0,"Gramin is a beautiful place, with vibrant yet homely interior, when you enter the restaurant, you'll feel like you're in someone's house.  The food was simple, wholesome and tasty. The choices are segregated very well. We had a paneer gravy and a karela gravy, I personally found paneer gravy very tasty, the bitter gourd was deep-fried, I found it almost tasteless. Followed was handi biryani and curd rice.  The service is very friendly and helpful, I did a little error while choosing the starters though, when asked they said the dish isn't a dry mixture but then it was deep-fried green peas and corn, which wasn't what we expected. I really wanted to try bhindi, but that was also dry and not as expected. Other than that, we had a great experience.  I love the place for it's homely food, ambitious and honest food.  Hope this was helpful :)"
4.0,Ambience -3.5/5  Decent looking place.  Food and drinks- 4/5  The bajra khicdi and chatpata veg was good.  Price - 4.5/5  Very reasonably priced.
4.0,"A restaurant with a traditional, homely and cozy atmosphere. Brilliant food with great service! A must try for anyone craving authentic north Indian food! Gramin Veg"
5.0,Best place for food mixer of shudh Village food and Ghar ka Khana.. Must try Bajra Khichadi and Karela Masala with Roti Ghee... Ambience is Desi style you will love it nd won't stop taking you selfies.. Food quality nd taste is awesome.. Pure vegetarian restaurant with Desi style.. Must visit
