Rating,Review
4.0,"Visited this place after 3 years nearly. There wasnt much change in the ambience, it was decent with all punjabi themed posters and seating wasnt that comfortable. Coming to food, taste still remained great as it was. Ordered Lassi(4/5), masala cold drink (5/5) - this was super tasty with right amount to masala added to pepsi, roasted papad(4/5), gobi pakora(3/5)- this wasnt that great, seemed more like cooked gobi directly placed into fried balls, methi khastha paratha (5/5)- this was the best and  perfect, onion paratha (5/5) this was quite tasty  too, bhini pyaza (4/5) - taste was fine but it was very oily."
4.0,"Went here on one of my friend's suggestion and I think it was a good place to enjoy food.Taste wise Yes It was really good,some items I felt were very oily. The service is fast and they are very cooperative and polite. Ambiance wise nice with a good number of people around."
3.0,"Went here after a long time on a sunday afternoon.  Food: 3/5 - The food no doubt is tasty. It has always been. But the thing that i noticed this time was that the food was super oily. We had ordered baigan bharta and kofta along with dhaba dal. The kofta was full of oil. Infact there was more oil than the gravy.  Ambiance: 3/5 - Well the place is almost like it was 4 years back. That is the charm. But then comfort wise not the most comfortable place.  Service: 4/5 - considering the crowd, the service was good."
5.0,"This is typical Punjab dhaba types cafe Punjabi loud music is playing all the time. We ordered paneer paratha and lassi , it is value for money the amount of butter they put is deal breaker . Even the lassi quantity and quality is great . In short great place to go for a north Indian guy."
3.0,"I tried the Rajma Combo, Lssi Patiala glass. Having a tastebud accustomed to Punjabi food in Delhi, the Rajma chawal was flavorful, but, did not seem to hit with the zing I'm accustomed to. The menu warned about ""extra spice , oil n ghee"" and tells you to request them to keep it low if we do not like it. But, seemed otherwise that mentioning to serve extra spicy was necessary. The Lssi was thick, smooth and delicious. The clay glass adds to the flavor. The XXL glass was quiet filling in itself. The onions served with the Rajma Combo had thawed, and felt like it wasn't chopped fresh. Overall, the prices are too much considering the ambience isn't great. I paid INR378 for this meal. It's typical dhaba style setup (maybe intentional to keep up with the dhaba culture). Ideal for office groups, friends groups. Didn't seem apt for family or romantic dates. 180 for the Lssi still boderlines ""worth it"", but 230 for Rajma Chawal in a not so fine dine restaurant was a big turn off. Quantity was good, this meal could have fed 2 people just right. Service was too slow, seemed like they're more focused on the SWIGGy and Zomato delivery queues ."
4.0,"This place has a story which connects you with its food and You can also realize it. So talking about food Paratha are the best part and here and You would be full by a single one even. We ordered Gobhi Paratha, Lacha Paratha and Kadhai Paneer (Spicy) and along with that butter milk. Awesome food, It tasted totally North Indian. Though the place stays crowded as they are very good but its worth waiting. So I would highly recommend to try food here."
5.0,"Didn't visit this place in person but ordered food from here once. The food is just amazing! First, had Green Peas Paratha and then Cheese Balls. Paratha was too good! Cheese Balls were nice. And last, I had their Lassi. It was great! Worth trying food from here! Food:- 5/5 Value for Money:- 5/5"
5.0,"This place is heaven for north indians who orders food every day. Delhi wale chole buthure is a must try from this place, may be try the special lassi in kulhad. A combination which will remind you the streets of delhi. I never visited this place, always ordered it from swiggy, but it seems to be a fun place. Loved this place and food. Happy to have it near my home."
5.0,"If you are in Bangalore and you didn't visit Kapoor's Cafe then you are not enjoying Bangalore. One of the best places in Bangalore. The food is really very tasty and hygienic as well. If talking about the ambience, if you are Punjabi or not you will love the ambience. There are many attractive wall hangings. They keep on playing Punjabi songs. I had four dishes 1. Cheese burst paratha 2. Pindi Chole Bhatura 3. Patiyala Chaas 4. Patiala Lassi You may superb crowd on weekends. The service is also super fast. The owner Arpit Kapoor is the best owner I have ever met. Must Visit"
1.0,"Full wastage of money..all the dishes are unnecessarily costly and really bad in taste..I will recommend not to visit this place for food, as you are going to be disappointed"
