Rating,Review
4.0,"Ambience : This is a typical dhaba with wooden cots lined up on which you can eat. Completely rustic.  Food : They have three sizes of every dish - Queen, King and Emperor. The parathas served with curd and lots of butter, are delicious. The lassi and butter milk was good too. The King size lassi/butter milk is 1 litre, and King size paratha was enough for three of us, mind you. So choose wisely according to your appetite!"
5.0,"Being a North Indian, I am always in hunt of North Indian food in Bangalore and look what I found here ! My favourite food ever - Paranthaaaas.   Always excited to eat Pranthas and love the concept of the biggest paranthas here in the form of queen, king and emperor size. The Prantha is served with Ghar ka white Makhan which is just delicious. They serve lassi as well which is equally tasty. The lassi is also available in the different sizes.   Its a very small place but I love the vibe and eating the pranthas on the cot. The place is super busy on weekends, so you must get before time if really wanna have the Pranthas, otherwise they will be sold out soon. Will keep coming to this place to eat the tastiest food. Its a must visit place. You can have really good food without burning a hole in your pocket :D   Service - 5/5 Ambience - 3/5 Food - 5/5 Value for money - 5/5 Quantity - 5/5!"
5.0,Dhaba style place which serves extremely good parathas. The size of the parathas are also really huge and very price worthy. Love the thangdi kabab and be sure to finish an excellent meal with some excellent lassi.
1.0,Been to this place for having dinner. Since it is a small outlet so there is no talk of ambience. You will be getting a bed in the open space to sit and have the food. In the weekend and it will be too much rush. Have to wait for minimum 45 minutes. Coming to the food we have ordered one aloo paratha and one paneer Paratha of queen size. the taste of paneer paratha was ok but the aloo paratha was not at all good. And also ordered the lassi. The taste of lassi was good. Served at perfect temperature but the presentation was not good. Coming to the cleanliness it was ok. The behaviour of staffs were not good and not polite.
5.0,"It's way great experience. The food deserves 5 star rating. Thanks for the suggestion given, we order allu onion and special lassi.  It was great. Thanks a lot."
4.0,"Visiting this place on a weekend, then do go early as the seats get filled quite quickly. Ordered a Aloo Methi paratha king size and 3 Lassi and it was quite filling for 3 people. The paratha was a little hard in the middle but the taste was really good.  Food- 4/5 Service- 4/5 Ambience- 3.5/5"
5.0,Here you will find big north-indian parathas which is very rare in banglore. Mooch marod have different varieties of parathas. You get an option to get paratha cooked in butter or oil. They finally serve it with a big spoon of butter on top of it and a bowl of curd. You can also order lassi.
5.0,Awesome is the word I will say. It's a perfect place to eat if you have love for paratha. Going here for more than 2 years and its a place which provide 100% satisfaction.
5.0,"The place serves huge, really huge parathas in three different sizes. I tried the queen sized aloo pyaaz paratha which was very tasty and definitely worth the money. Had a lassi to end the meal and it was definitely a god experience overall."
5.0,"This place is known for India's biggest paranthe They serve it in three sizes : queen , king and emperor size. Especially serving this type of parantha in Bengaluru is amazing part They have 2 stores : one for veg and the other for non veg. All parantha are well stuffed and served with butter(home-made) , curd, pickle , chutney. Ambience : They have complete dhaba style sitting with charpai in an open. . Huge types of variety are there for lassi and paranthe to choose from. . . You have the option to cook parantha in butter or desi ghee . Think before you order as we ordered 2 queen size parantha and 2 lassi for 3 people and we were actually full. . . Kudos to the mooch marod team  . It's just worth it if you are parantha lover, u will be if u r not.Genuine price as per quality and quantity  ."
