Rating,Review
5.0,Great food. Came here after a long time. Really enjoyed the service and was taken well care off. Thank you Akash and Prabhat for taking such good care of us
3.0,It's over priced definitely! And also taste is somewhat average. Ambience is very fancy . Taster was Bland . There is definitely scope for improvement if the restaurant wants to be one of the best !
5.0,The people in the restaurant were polite and also the food was teasty and the service was also fast... The surround and habitat of the restaurant was too good. Hope we will visit again... Niraj...
5.0,A good place and a good service. A very polite and courteous waiters! Kudos to Umesh and Bini.. patient and best in serving! Looking forward to be here again!
5.0,I have visited last night to Punjab grill Orion and it was my first time at Punjab grill bhatti the murgh was yummy and juicy. I would like to thanks mr niraj who gave us great hospitality and exeptinal service thank you niraj
3.0,Went there as a party of team lunch and we availed buffet. The veg options in starters were really very less. We ordered mango lassi and it was a total disappointment. Main course was decent.
5.0,"Great food, great ambience !! Authentic preparations. Butter chicken and naan, absolute classic. Great service by Sabuj and Ranjay. Looking forward to the next visit."
5.0,"Was a great experience, excellent service , amazing food  must visit , would love to visit here again with family and friends, Mr prabhat was very sweet and courteous, served us well, very happy with his service"
5.0,The buffet food was very good. Short eats took awhile to come. Mr. Sabuj took very good care of us. He has a good future. They can work a bit on the music.
5.0,"Prasad and Bhuvan was really well mannered, kind and helpful. Had a wonderful dinner. The Kabbab platter is amazing. Will definitely visit again."
5.0,My name is Jagadeesh. I came here with family and had nice time and dinner. Thank you Punjab Gril. Chicken dishes are nice and reaches our expect
5.0,Good food and ambience. I took the team of 20 members for lunch buffet and  the experience was good and service is great. Pra hats Service was good.
5.0,"Great staff , great service .. !!!!! Good cooperation. A must visit place for all age group with friendly atmosphere.. service also best from bhuwan and ranjay we really enjoy"
5.0,"Amazing, tasty filling food and great service by Sabuj. Paneer tikka and chicken were good. Complimentary paan shot was very nice. Nice, high quality food"
4.0,"One of their staff, Mr. Prabhat, got us another drink immediately whern we forgot to mention not adding ice to our drink. Exemplary service and thoroughly courteous staff. Ve ate till our stomachs were full and are packing the remainder of our offer Keep up the good job! Food was very good, service up to the mark, thank you Sabuj for good service. Great ambiance, and music.. Would definitely like to come back"
5.0,Nice food place north Indian style  We enjoyed lot thank you so much for the good service really delicious food... At Orion mall Paneer methi masala one of my favorite dishes and Biryani was Wooow need to say smtng about staff well trained thank you so much Ms asha
5.0,I have visited several time this place always I feel the great food and service by biswjit the guy who served us it was fantastic I will recommend my friends to come and enjoy the Punjab grill at Orion mall thanks
5.0,"Special thanks to Niraj Kumar, the sweetest, most polite and kind waiter I have come across. He kept my phone safely aside when I forgot it on the table and left. He also did an amazing job taking care of us at the table with a smile, you cannot miss!  Thank you Niraj, you made our experience at Punjab Grill all the more delightful."
5.0,"One of the best fine dining restaurant and authentic north India Punjabi cuisine in Orion mall ..I have visited today, nice ambiance and nice seating.. very comfortable to hangout with family and friends.. Great food and great service here,our server was mr.justine was friendly and very polite nd very fast service.. really we are enjoy The food.. great testy yummy,, I will definitely come back again soon.."
5.0,Food is good & service was excellent by prabhat we love the each and every bite of food here as usual ambience was pretty good as well I recommend my friends to come and enjoy punjabi food at Orion mall thank you prabhat and team
5.0,Had a wonderful dinner in Punjab grill. The ambience is really good and so is the food. The staff is very polite and helpful. Overall a very good experience.
4.0,Loved the ambiance and the amazing food here...the mutton chops are a must try...Mr.Sabuj was very welcoming and pleasant wit his service...a must try
5.0,The staff is really welcoming and friendly. I would like to mention Niraj who was really polite and kind to us. The interior is really good and the food is delicious. Would surely recommend a visit.
3.0,"Service was good. We didnt like food, we told them. They made the fish as per our choice. Thumbs up for that.  For service I would like to give 5 starts. Food was ok ok not great. Price is more but you dont get great food.  Not visiting again"
5.0,"This restaurant was quite good in their ambience and well played music where we can enjoy our food and beverage, the food here is delicious with their spices and we can visit with our family and friends... Thanks for suggesting us a good starters Vini.. It was not too heavy nor lite... She is polite and friendly.. Enjoyed our dinner... Recommend... Will visit back.."
5.0,North Indian food is very delicious.In particular Mr sabuj made us feel at home and has advised on the vegetarian menu. Good place to dine. Will come back again.
5.0,"This Punjab grill restaurant takes us to a grand culinary through royal Punjab .. Experienced the undivided Punjab . Explore to wonderfully diversity of flavoured food of Punjab , dining experience was great , a rich delicious food .. ambience was great .. thank u prabhat .. it was good being here.."
4.0,Really nice food and ambience. A bit expensive but a great place to have north indian food. Have a good variety of starters as well as main course
5.0,The hostess Asha guided us with a comfortable table.. Friday special buffet we had with the offer of 2+1 on drinks... We enjoyed the starters which was hot delicious .. Good main course of veg mushroom.. Paneer.. Ended up with dessert and an ice cream.. Thank you vini.. Recommended..
5.0,"This was great being here in Punjab grill, this restaurant ambience presents us old Punjab taste of Dal Tadka in the main course where we can enjoy the taste of tadka and aloo Palak with roti, loved the delicious food.. Thank you for taking care of our table Vini... Had a great time and enjoyed the food and service... It's pleasant being here..."
5.0,Just like home...Sabuj is very friendly..lovely music..good environment ..veg platter and veg biryani very yummy...will visit again...........thank u
5.0,Enjoyed authentic food. Good ambience. Friendly staff. Sabuj was a good host. Pan shot and the starters were excellent. Variety of the main course was commendable.
5.0,"The food was excellent, the service was great and Mr. Bhuwan service excellent.i love to come again and again. Thanks for your service. I will recommend to friends and family too."
5.0,The food and the service is great and awesome! Especially the food attendant Sabuj..he did a very great service and warm hospitality! Definitely will come back here again!
5.0,Sabiuj  very nice person and best place for drink and also staff very helpful and friendly also food quality very well and everything beautiful place with amazing music
5.0,Sabuj very cooperative. Super service .the Starter murgh tikka pg and veg Kabad platter food was Excellent.music  & ambience was very good . Will Visit again
5.0,great food.....good service great ambience...super tasty food.....very polite service....value for money we will come again  with my friends thanks niraj
4.0,Murgh Tikka was cooked so awesome. And you should not miss their Pistewali Keshar Lassi though. Backed by some courteous and timely service. Cheers to Sabuj & Biswajit.
5.0,The food and service was great. Lamb chops and tandoori chap were great. Kumbh Makai tikka was great too. Appreciate Prabhat's service quality!
5.0,Great food.. very courteous staff.. Sabuj was the guy serving us and recommended us the dishes and they we're lip smacking. Ambience was also good.
5.0,Really great service from Sabuj. He was very helpful and guided our decisions on what to eat. Lovely food. Really enjoyed the entire experience was lovely.
5.0,Very nice food and excellent service but too much quantitiy of food. Sabuj is a very nice host! Nice experience. Should try chicken starters .
5.0,Good food and a nice place to done out with family. Staff members r friendly and sober. Music is also nice in this place and the variety of items are also good.
5.0,We had a best dining experience in this restaurant... Here the food they serve is very tasty and delicious.. In the non-vegetarian they have many option in starters as well main course... We really enjoyed their ambience music and food also... We enjoyed your company with us vini... It was great having dinner with friends...
5.0,Great place to eat with family spend time nd for north indian best food place insaid the orion mall. we really enjoyed food thnks to asha We come back again for this place with my family...
5.0,Visited on weekend for this place with family.. A bit crowded ... Food was presented well as the taste was very good and yummy .. Pindi channa was good and flavour of spices was great... They have good offers.. Vini was very polite and served us courteously ... Thank you vini... We will visit soon again ...
5.0,Awesome food and very fast service! Special mention for Sabuj. Great sense of customer service he has!! Must visit for delicious punjabi meal
5.0,Week end plan for this place im big fan of zomato follower i saw about this restaurant all positive so i also visited this place its to croweded food tasty drinks was wooow mocktails.... week end dhamaka... thank you so much asha... helped loat
5.0,"The ambiance wise it was good, food was delicious... And thank you for serving us vini for delicious buffet ND starters was tasty... We enjoyed with ur restaurant hospitality"
5.0,North Indian the best place ... Just say wooow for this place food tasty ... Food presention... Drinks glass desing was so nice .. If any want to try or any family lunch planing go this place thank you so much asha and vini
5.0,"Service given by sobuj was so good, and taste was really awesome... Keep it up ... Atmosphere was good... All members of Punjab grills are really polite and soncious about their work.."
5.0,Excellent service. Our waiter Prasad was really good and helpful and all the dishes he recommended were amazing. The ambience and music was really nice and pleasant.
5.0,"An outlet in Orion mall with great seating of gourmet fine dine in restaurant which has North Indian frontier cuisine. A perfect place to hangout with family / friends either for official corporate lunch or dinner . We were here for dinner, we started with the cocktails drinks which had offered first Jagger bomb, cosmopolitan, daiquiri. Vini served us masala Papad with green chutney with compliment. Starters was a non Veg kebabs where we got different verity of authentic flavours of spices .. Main course was nalli ghost, Tandoori roti which had a finger lick taste more over very delicious... Finally ended up with a kulfi falooda and pan shots where we had never tried ... Must try North Indian Punjab Grill restaurant we got in Orion ... We are very thank full to chef who cooked us good delicious food and who served us very courteously..."
2.0,"We visited for team lunch. No...not good I must say because of the below reason: 1. The food is not good in taste as per they claim. Like the name ""Punjabi"", there is no Punjabi flavor i.e. Punjabi Tadka in their food 2. The options available for starters are far far less.  3. Prawns are not being served always. Good to call and then check the menu before hitting the place. 4. Mutton sis not present wither in started or in the main course. 5. In main course, the options are far less again (One chicken dish, one fish dish and one chicken Biriyani....and that is it)  7. Not at all worth for the money  8. Highly advice not to visit unless you have no other option to eat  Please do call the restaurant and check the menu before you visit the place in person.  Thanks!"
5.0,It is one of the best north indian restaurent what i was looking for. and i got that i have enjoyed each and every bite of paneer tikka multani and Murgh tikka punjab grill.and special thanks to niraj who made our day special with polite and Humble thank you niraj. We will come again sure
3.0,"Visited for dinner. We ordered vegetarian food only. Started with Paneer Ka Soola which was very ordinary in taste and only good thing about it was that they give big pieces. Then we had Bharwaan Kumbh Peshaawari. It was unique, made up of mushroom and stuffed with paneer. In main course, Tandoori Roti with Dal Makhaani. In Dal Makhaani, I hardly found any razma pieces and it was overloaded with butter! In mocktails, we had Swad Cranberry Margarita, Rim Jhim Mojito and Mango Bite Ginger Beer. Pan shot was viscous which I didn't like. Ambience is superb, staffs are very polite and courteous. Choice of background music was depressing though! Unnecessarily overpriced!"
5.0,Been here we had best paneer chilli and crispy corn with drinks. Its famous for it buffet that is barbeque . The ambience was attractive and service was really good must visit this place
4.0,Excellent service by Sabuj. Palav was tasty and filling. Quite expensive but worth it for a rare visit. Ambience is great with melodious music
5.0,Food was fantastic.. ambience was very good. Service was quick and good. Bhatia the murg was yummy and tasty. Rim jhim cocktail was awesome. I recommend all to try Punjab grill oriin mall
5.0,Thank you Sabuj for taking care of us and Asha for being a good host. Liked the way she took care of our 8 month old. The food was really good too
5.0,"The food was very delicious, so as the service by Niraj. The food here has been always my favourite. Thank for the warm welcome and the awesome service."
