Rating,Review
4.0,Although Sunday night was quite crowded. It signifies the place is really popular . My experience ratings are as below: Foodtaste-4.5 Ambience-4 Variety-5 Service standards-4 Serving time-4
2.0,"Everything was above average. Ratings could have been 5 star. Only because of Mutton Punjabi and cost factor vis-a-vis value for money, it has gone to 3 Star. Also the cost for two is as per attached bill photo image. Mutton Punjabi looked like broiler chicken and tasted too like broiler chicken, but wasn't accepted by anyone in restaurant (waiter, captain, cook and manager) as a broiler chicken. This was my 6th and most probably the last visit to this place. Rest everything is okiedokie."
2.0,"Nothing so great about the place. Went there for team lunch last week. Not so impressive ambience, neither the food.  Staff was arguing for most of the things. Wait time for food was too much. We ordered Achari Paneer Tikka, Hara Bhara Kebab, mushroom takatak, Paneer lababdar, butter chicken, dal tadka, lassi...apart from panner and chicken rest was below average...kebab tasted like burnt cookies and even looked like one....mushroom took forever to come, looks like they were growing it and tasted only of coriander powder. There are definitely much better places in Indra nagar for Punjabi food. This place doesnt do justice to their name."
5.0,This is an awesome place for a party and get together if you are foody... The foods are very very tasty... No words to say.... Out of my experience..
4.0,"A very good north indian restaurant. The service was quick. The tandoori chicken had pretty small leg pieces which was disappointing.  Main course were great. Piece of advice - dont order two same based gravy, you wont feel the difference in the dishes. Dessert was good. All in all a pocket friendly place."
5.0,"This is one of the best place to enjoy authentic Punjabi food. I have been going there from almost 10 years now, when they had just 1 branch in Indranagar. The owners are very friendly people. The service is awesome. Chicken Chaat is my fav here. Definitely a place worth visiting and highly recommended."
1.0,"I am a fan of Punjabi Rasoi, HSR layout. Had gone Indira nagar one for dinner. Expectation was high as HSR. But the taste of foods were seriously bad. Not recommended this. You will not like if you have ever once gone to HSR punjabi rasoi. The signature recipe like Amritsari chicken is changed completely here. It is dry starter in HSR, very tasty, in indira nagar they will give you as gravy."
1.0,This restaurant USED to be so good.  I recently ordered their Non Veg Thali and a Mutton Seekh Kebab. The Thali was absolutely mediocre. The 'Butter Chicken' tasted like it wasn't cooked enough and it still has the raw masala flavour to it. It was just too oily.  And the Mutton Seekh Kebab had to be the worst Seekh Kebab I've ever had. It tasted like it was frozen and it was just so hard. The quality of the meat was very questionable.  I can't believe that The Punjabi Rasoi has stooped so low in terms of quality. Avoid.
4.0,"Food 5 /5 , if you love spicy and North Indian food this place is perfect for that , always full , table booking is must. Service was good , only thing which can be better is ambience ,it's bit small place and always full because of food"
4.0,"Good place to try some north indian food. All the chicken dishes be it the chicken tikka, chicken chat or the chicken biriyani were delicious. The rotis were nice too. Pocket friendly place."
