Rating,Review
3.0,"This restaurant is located at the top floor of the building. It's got a shady darker ambience about it. I have been here twice. One was during New Year time which expectedly made the service very slow. Otherwise in normal days, the service here is okay. Specialised in North Indian food. You should be having a typical North Indian meal here which includes Naan, Kulcha, Dal Makhani and Paneer sabzis. Try Lassi too. The place has live music which is kind of not very exciting"
1.0,"We went for a Team Lunch today, and the food, especially Veg was pathetic. The starters were ordinary, the gravies were bland, and the pastries were very sweet.  The only things I found tasty were - Chole, Sarson Ka Saag, Gulab Jamun, Paan Kulfi."
3.0,The ambience is cool. Looks different. The food was okay. Had higher expectations particularly because of the price point. Only the butter chicken was good. An overall about average experience.
1.0,Very Bad Experience at this restaurant  Order the food and it took them an hour to serve the food. The food was way below average. They made us wait for an hour unapologetically for a very below average food. The murgh curry which we ordered was pretty bad.  The worst part is they charge a 7.5% service charge over and above the menu rates for the bad service and food.   Very bad Friday evening dinning experience we had at this place.
4.0,"Been there yesterday with family, overall a good experience, very nice ambience with nice setup of punjabi theme, punjabi alphabets, bangle, maps of punjab made with katoris, well running water, phulkari based menu. Overall a good ambience with live music and singer singing nice songs When it comes to food, we ordered railway murg and paneer started which had stuffing along with lahori shikanji and fresh lime soda, overall a great start with starters  Maincourse we ordered dal makhni which can be made better and malai kofta which was quiet sweet. I mean little more than it should be . All in all a great experience, a time well spent at a cozy corner table with music and starters  Ambience -4/5 Food - 3.5/5 Staff - 3/5 Location 4/5 Price: Slightly over priced"
5.0,"Beautiful and unique ambience. The lighting is peaceful. The idea to use bangle wrapper over the light is unique.  Service is decent and staff is courteous. Food is tasty and worth for the money spent.  I tried their, Aam panna Tandoori khumb te bhutte Amristari masala papad Chil mil subji Mix roti, rumali roti and pulka Badami Rabdi  The food is tasty and rotis are soft. Aam panna could make one crave for more.   Tip: chil mil subji is a Must try. Its properly made with mixture of beans, kaju, chole which made it yummy. Do try it."
1.0,"I visited this place with my friends on this Sunday( 5th May). We reached there around 3 o clock and ordered food. First of all the food was Okish, but that was not our point of disappointment, it was the service which was pathetic. When we ordered jeera rice during mid meal, the waiter informed us that the kitchen was closed. So we were like OK, please get us the steamed rice then ( which I am sure is readily available), but the waiter was adamant that kitchen was closed. We understand that kitchen might be closed some time, but if any customer is having food then at least he/ she should be informed about the 'last order'. Highly disappointed with the service. Dear management please make a note of this."
5.0,"I would highly suggest their weekday lunch buffet both for vegetarians and non-vegetarians!  Punjabi Times for me is their buffet - great food, good combination of dishes and at a really good price. I also really liked the service, fast and efficient.  One should not miss this place.."
5.0,Dal Makhni Butter chicken and some naan - life is good!!  The staff was very cordial and responsive.  The food truly is lip smacking.  Visit this place if you already havent.  We will visit soon!!!   Yummy food in my tummy..
5.0,"One of my favorite places for chicken tikka and rogan gosh!!  Also I have tried few vegetarian dishes and they too were equally tasty, but I am a non-veggie so I stick to chicken.  If you crave for non veg food you should definitely try this place.  Dal makhni was so flavourful and naan was soft and tasted yum!  Good place to eat good food!"
2.0,"Food is just not authentic in taste. Beginning from starters and then main course, nothing delighted the taste palatte. It may be good for people who don't know the North Indian taste and that's why such high ratings of 4.1. But if you are looking for authentic tasting Punjabi food this place is not recommended. The recommended Dal makhani didn't have any shred of makhan in it. Though service was good and staff was courteous, but the main objective for which you eat outside was missing from the experience. Not going again."
5.0,"The food was delicious ..  I think, anything you order will be delicious here, I have come here thrice and ordered and tried so many different items - most of them were just delicious.  Staff are polite too.  A lovely experience and a must visit for all.."
