Rating,Review
4.0,I went there for dinner on Christmas eve with my team and we all loved the atmosphere of this place. We were a group of 10 with both vegetarian and non vegetarian and I must say no one had any complain regarding the variety or quality of the food
3.0,"Unfortunately I had more expectations from this.. the starters which was surf turf which was not that great, mutton Rogan Ghosh was just two Bigg pieces of mutton but well cooked.. the drink peached ice tea was very nice and the strawberry mint milk shake was good.. the person who was servicing us was not the best and took some time even to give the bill.. overall a good place will visit another time so sure. .India breads are very costly..will give 3.5/5"
5.0,Awsome service &ambience. Great place to be I. For dinner.Must say service is top in town and taste too good.  Would come back again.keep the great work
4.0,"We visit this place quite often as we love the food and the service. Some of our favorites are the nalli nihqri with roti, paneer Tikka, and the gajar halwa roll pretty much steals the show every single time, and is a must have. They also have a good bar menu and a wide variety of beers as well."
3.0,Loved the food. Loved the ambience. Service was good and courteous prompt staff. Clean and Hygienic. Loved the Galauti Kebab and Gulab jamun tiramisu. Mutton Rogan Josh was good. Butter naans were soft and nice. Mixed fruit cocktail was not that fresh though.  Family friendly.
3.0,"Really pretty place to bring your family here. Price on the higher side but you could use your zomato gold. The food is okay, ordered butter chicken, biryani and malai kofta and few naan. More on the sweeter side. The staff there are very patient. They recommended the atta chicken, will go there again and review it. Thanks for a good experience  Note: My friend asked me where I'm going, I told him ""The salt"", he was like you get uppu at home. I told him its going to be an expaansive uppu. So go there when your pockets are full"
5.0,"Went there for early lunch. We were served complimentary mocktails and some fryums. For starters we had galouti kabab and adraki mutton pasliyan... Main course we order butter naan, Mutton Dum Biryani and Raara mutton curry . Service was slow we had to wait long time for the galaouti kababs and Biryani. I guess we were too early   Food: 5* Ambience :4* Service:4*"
5.0,"Food - Delicious Service - Very pleasing Space - Though inside a mall, there is enough seating for 70-80 pax Price - That's why I like Zomato Gold:)  Must try: Prawn Koliwada - Medium sized prawns sauted in a tangy sause and lots of curry leaves Khas methi murgi - soft boneless chicken in methi tomato gravy. Perfect with hot tandoori roti  WI'll try Atta Murg the next time"
4.0,"If you need a calm and serene place with good Indian food after a tiring shopping day at the mall, u go to this amazing place SALT @VR mall whitefield. It has got a calm n soothing vibe as soon as you walk in and if it complimented with some live acoustic singing there's nothing more you can ask for. Food couldn't be better. Topped in taste, presentation, quantity and hygiene. They've got some options in drinks as well. The staff was most kind and even the manager greeted us and asked for feedback. Happy place happy tummies."
4.0,"Ambience - 5 Food - 4.5 Service- 4 Value for money - 4.5  Loved the dahi kebab, alloo palak chat, Peshawari Malai paneer tikka, corn and cheese balls, creme brulee. Awesome taste and worth the price. Cant wait to go back. If you plan to go there choose Friday Evenung as the band that performed there is simply too good"
1.0,Food 0.5 Ambience 3 Service 4.5  Worst food I have had outside. Neither the starters or the main course could satisfy anyone. We had to order food after coming home. The place is good for couples or families. The place is sofasticated. Food not at all recommended. The place just couldn't justify the prices. Not bachelor friendly.
4.0,"We went for a team outing and that ended with having dinner at Salt. We went for buffet dinner which was fairly priced but I must admit that every penny worth it.  Starters were freshly prepared and served in a persuasive manner, service was great. Non-vegetarian starters was finger licking, specially chicken and mutton starters. Prawns and fish were also descent, I didn't like much but my colleagues loved it. Panner was soft and tender and obviously well cooked.  We didn't have much space to try out all the main courses, tried small bit of all the preparations, it was good but not out of the world experience.  Dessert is good, didn't have much options though, but still well prepared and tasty.  Only thing bad I want to mention here is the cocktails, saying horrible would be generous.  Overall experience is good, nice ambience, good service, good coverage in menu."
4.0,"Quaint place on top floor of VR mall which serves excellent Punjabi food. USPs of the place are a) High end, not too crowded and enough space to carry your kids and let them be free b) Mind-blowing desserts : Their saffron cheese cake and tiramisu with jamuns are worth every penny c) Non greasy punjabi gravies. Keeps your stomach happy at the end. d) Frequent food festivals - one such ""rotis of india"" and ""Holi menu"" was fantastic  At the same time, we find the veg. menu quite small (Indian starters & main course) and few trips are enough to try out everything. While we love this place, repeat value is exponentially reducing for want of choices - hope there are better options for veg dinners."
2.0,One of the most over rated restaurants in the city. I had a great opinion about the place untill I had my dinner there. We ordered a Salt speciality starter Surf & Truf. With high expectations we we're waiting but the food was not less than a disaster. With vermeceli upma type in the middle and prawn and fish pakoda. Quality and quality both were not good. Coctails were also not worth. Then coming to main course Alleppy fish curry was the worst among the lot. It was no were near the Alleppy curry. The only thing I fond tolerable was Murg tikha masala in the main course. Spoiled our mood I didn't had the courage to order deset. Very disappointing experience. The best thing about the place is it's ambience and seating.
4.0,"SALT  Indian Restaurant Bar & Grill  is located on the 3rd Floor of VR mall. There's some excellent choice of eateries here in Toscano, Maziga and Irish House but SALT with its food, decor and value has its own draw.  The place is elegantly done up. The glass facades and brick walls are common place these days but what i like most were the mounted black boards and the versatile use they've been put to. The boards not only advertise SALT and their specials, but also play canvas to some chalk art. The use of yellow highlights the bar area without being jarring to the senses.The mosaic floor and the olive upholstery complement the overall theme.  The staff here were quick to provide a table and fill our glasses with water. A complimentary basket of finger chips (papad) was placed on our table. We were very hungry and quickly ordered Adraki Mutton pasliyan and the Galouti Kabab for starters. The dishes took a while and we kept emptying out the finger chips basket as we waited :) . The first sight of food was to be had only after a couple of apologies from the staff for the delay in preparation.  The lamb mince Galouti Kabab were outstanding. Served on saffron breads, these were consumed at the rate of knots. The mutton pasliyan paled only in comparison but were a decent dish nonetheless.  Food 4.5/5  Service 4/5  Ambiance 4/5  Slobbering Genie's Verdict : 4.2/5 - There's a lot more on the menu that holds a lot of appeal. Hope to be back for round 2."
4.0,"Salt is a family dine-in place, also for corporate dinners and lunch. It's mainly for North Indian food lovers. Me being a not a big fan of North Indian food, I loved its taste. Less spicy and good quantity.  Recommended for North Indian Food"
5.0,"An awesome place for Indian fusion..the menu is quite interesting...food is delicious..Good music..ambience is calm, peaceful n relaxing...decor is nice..courteous staffs...  Coming to the food...we had saffroni chicken tikka, rahra mutton curry, murgh tikka hare pyaza with some tandoori roti n garlic naan n in dessert we had jamun tiramisu...well everything was strictly delicious...presentation of all the food was nice specially the saffroni chicken tikka..generous quantity... rahra mutton was amazing and is highly recommended..tiramisu was an unique one among the all...a different one with jamun fusion..  Service was really amazing....surojit served us..he has taken care of all the small things we needed and wanted...manager Mr. Pramod is a true gentleman..he is taking care of all the guest present there and taking feedback from everyone about the food..all the staffs are nice and friendly...loved the ambience...definately will visit again...overall great experience n loved the place..."
5.0,"Classic North Indian restaurant with a unique taste for each and every dish. We underestimated the portion sizes and ended ordering a lot. But was totally worth it and will definitely go back. Would recommend the Chettinad Mushroom, Rarha Mutton Curry and their signature Chicken Tikka. Once again, thanks to Zomato Gold"
