Rating,Review
1.0,I was so excited to visit this place for its food and ambience but I was super disappointed. The ambience is so sad and the service is even worse. And obviously lets not talk about the food! I dont think I would ever recommend this place to anyone.
1.0,Its a worst place to visit now. In a month it happened twice that after waiting for 1 n half hour i have to walk out. It has deteriorated in its service
4.0,"Silbatti is one the best North Indian cuisine restaurants in HSR. I have been here several times and the place never disappoints me. You must try the appetisers here. Pesto paneer, Bharwan kumbh, murgh Reshmi kebab are a few.  Based upon the crowd do be patient however the wait is definitely worth it."
3.0,"Polite staff , nice ambience, veg dishes are pretty good but non veg starters are not up to the mark. It's dry and too oily. Its not suitable if it's raining. The place is full of mosquitoes."
2.0,"Food - 1/5 Service -2/5 Price - 2/5  Ordered shahi butter chicken , mushroom cigars. Shahi butter chicken was simply tomato pury chicken. Overhyped place ."
1.0,Did not provided one plus on zomato even after zomato gold membership. Staff was non corporative and was impolite. In case of left over food was not reasy to pack it as well.
5.0,"The food is great. And most importantly, the service is great here. The customer support is awesome. The staff and manager is very friendly. Quantity and quality both are good."
4.0,The food was really good in this place. The service is also on point. The ambience is also really nice with good music playing in the background.
5.0,Great ambiance and good food quality with proper hygiene........... The staff were polite to talk and were fully helpful......... A great place to have a friends gathering
4.5,The ambience is very amazing  Wonderful restuarant to spend some quality time with friends and family  If you visit HSR anytime do visit this restaurant
5.0,"I have been here a couple of times and the food here is really good. I guess for North Indian food, it is one of the better places. We ordered both chicken and paneer and both were up to the mark. Definitely will cone again."
1.0,"At the peak time, going to this place is not recommended at all. There is a waiting time of 45 minutes for getting a seat and food also comes very late."
5.0,"Nice place, good food, friendly staff,great ambience. Highly recommend to visit. Nice place to have food with family. Tasty dal makhani , yummy food"
5.0,"Excellent food, prompt service! The food was very tasty and filling! We were two of us, we had a starter, a curry and breads. The food was homely and also did not put a big dent on our wallets. Would recommend it for a nice outing with friends"
5.0,Food and ambience are really good. It was worth spending time and money. One should really try this place. Overall everything was good. Check it out.
5.0,Sizzling paneer item was awesome.... Its good to have dinner in sillbati.... Come and have dinner and spend well time with great services. Good amibins service was too good
5.0,The must visit place if one want to eat healthy and the tastiest food which is pocket friendly too. The service is also very quick and awesome. I have already been there a lot of times. Must visit
5.0,"Great Tandoor dishes, aam ras is on point. Good service by the staff.. the only drawback is the mosquitoes in this place.. there are a lot of them. Otherwise the ambience is good too.............."
5.0,We went here for a team dinner. The starters were delicious. For main course we ordered multiple dishes and them all to be pretty good. The ambience is a nice one. They play music that adds a good vibe to the atmosphere. Really enjoyed our time here. Will recommend this place.
5.0,"Amazing place to be. Choicest place for Punjabi food. Super fantastic. It was great ambience, nice people. Amazing staff and great hygiene. Popular in entire Bangalore."
