Rating,Review
4.0,"One of the best buffet experience I had.. Each and every item is superbly delicious.. But was disappointed with the management,, The staffs were not very courteous neither the manager.. So they can improve on tat."
3.0,Starter options are very less Only good part is live dishes other than that we didn't like anything..... we can get better options at that price
5.0,"Good Ambience. Nice food. The masala corn and non veg are delicious. The staffs are polite and courteous as well. Santosh, the staff stood out, though."
5.0,It was great place to have food. Raju's service was excellent.. Time well spent.. Tandoor items were very delicious and mocktails were also good.
4.0,"Abmience goes with the name of the restaurants . Staffs are friendly and courteous. Initially the starters served were very spices on our taste bud but the staffs ensured to provide food as per our likings . We went late but the staffs were never in hurry to shut the restaurants or place the last order . Would like to recommend they to have white sauce pasta ,kids like it."
5.0,Was great dining in this place as always and got a good service from Raju and Jamal. All time favourite is Murg musalam which is as usual superb
5.0,Ambience is very nice. Food quality and presentation was excellent. Loved this place. Santosh gave a really good service. Awesome place for dining
5.0,Had a nice time with my friend Really enjoyed the place... Like the ambience and the staff was really good and smart And most of all their Hostess MJ was awesome.. She make me want to visit it more often... It's a must to visit this place if you want to have some silent and beautiful place
4.0,"The ambience of the place is amazing. The food spread lacked variety and was okay. Liked the desserts, especially jamun. Prices are reasonable and can surely visit the place once."
5.0,"This is one of my favourite places to binge on , the food is lip smacking good especially the starters and rabdi and jaledi is a must try. A good place with peaceful ambience to hang out with close aquaintaces"
5.0,Santosh was extremely courteous and professional. The service was prompt and mindful to youre taste buds. Overall a good evening spent with the family
5.0,Place is really good.Service is superb....we had mutton Rogan curry...that one is really delicious.will definitely visit this place again. Thanks to Raju and bisu Jamal.
3.0,Ambience is quite amazing and suits the theme of sultan and sultante. The food is average specially the starters but main course isnt bad. Variety is limited and sweets spread is also quite less. The taste of jalebi and gulab jamun is quite nice. I would say taste is quite good and Zomato gold 2 plus 2 drinks made the experience better.  Not bad but not so great like the rating of 4.5 on Zomato and I would rate smwhere between 3 to 3.5 and max 4.
5.0,"Finally been to Sultans of Spice ...its a great experience to be there...  Ambience 5/5  One of the place I like most what I've been so far... especially the painting on the wall..  Service 4/5 It's a Sunday lunch...the place is full... may be because of that the service is little slow... and I feel that less staff... But the staff is courteous....specially thanks to mzi, Santosh, and Jamal for the nice mocktail..  Food 4/5  Like to give 5 star but mushroom is little salty apart of that all is good.. Specially love kalmi kabab from the starter.. You have around 60 items to eat. Must try their chats... thats up to the mark..  Drinks 4/5 Try their in house special like seven wonders of the world ..thats amazing...  Overall it's a very nice place to dine..lunch their is buffet dinner you will get Ala carte that you can get special afghan Delhi and North Indian food... Recommended to everyone...."
3.0,"We went for the buffet. Have been here couple of times now. Friendly staff. They try to make sure that your visit is more of an experience. We had an anniversary celebration once and they took a picture of the group and gifted us a hard copy. They even gifted us with flowers. Lovely surprise. But food's taste is average. They try filling you with lots of starters as the options in main course are only a few. Some dishes taste well, like the mushrooms, fish and prawns. The other dishes were remade by the chef when we gave feedback on the dishes we didn't like much. So that way, the staff is lovely. But the food still tastes only average. I would have liked all the dishes to taste well right upfront, not having the need to be remade."
5.0,"A must visit place for a perfect ambience and awesome food. Really welcoming staff. Being a chicken lover, it was a great experience. Do try murg taftaan."
4.0,"As the same suggests it's mainly north Indian food. Spicy level of all items were moderate nothing too spicy. Few things which standout for me were service, few starters like crispy corn, chicken kebab, mushrooms and paneer Tikka. Main course was ok and wide spread on desserts and live counter which was worth waiting. Few starters like baby corn, rajma kebab and pineapple grills wasn't that great. However post feedback chef took care of all items. Drinks were vibrant and amazing in taste this is from there special drinks menu not from regular one."
