,Type,Word
0,food,tables
1,food,breads
2,food,cake
3,food,refreshment
4,word-not-found,panna
5,food,naans
6,word-not-found,whitefield
7,food,desserts
8,food,vanilla
9,food,lollipops
10,food,lemonade
11,food,round
12,food,cocktail
13,word-not-found,murgi
14,food,sauce
15,food,butter
16,food,honey
17,food,cheese
18,word-not-found,nihqri
19,food,side
20,food,mocktail
21,food,methi
22,food,tandoori
23,food,veggie
24,food,dessert
25,food,upma
26,food,tiramisu
27,food,course
28,food,ice
29,food,halwa
30,food,prawn
31,food,drink
32,food,naan
33,food,coffee
34,word-not-found,uppu
35,food,chicken
36,word-not-found,pasliyan
37,food,lunches
38,food,biryani
39,food,masala
40,food,greens
41,food,spread
42,food,mince
43,food,mushrooms
44,food,paneer
45,food,joints
46,food,dough
47,food,makhani
48,food,roast
49,food,feast
50,food,juices
51,food,milk
52,food,payasam
53,food,veg
54,food,starters
55,food,fish
56,food,dinners
57,food,mutton
58,food,shake
59,food,mix
60,food,coctails
61,food,parathas
62,food,salad
63,food,portion
64,food,meal
65,food,pieces
66,food,saffron
67,food,icecream
68,food,ghee
69,food,chips
70,food,corn
71,food,courses
72,word-not-found,gulab
73,food,servings
74,food,prawns
75,food,beer
76,food,kulfi
77,food,drinks
78,food,aloo
79,food,lunch
80,word-not-found,rd
81,word-not-found,jamuns
82,food,pepper
83,food,buffet
84,food,bit
85,food,salt
86,food,pakoda
87,food,tea
88,food,dishes
89,food,starter
90,food,mint
91,food,tikka
92,food,beers
93,food,specials
94,food,curry
95,food,roti
96,food,wine
97,food,gravy
98,food,potato
99,word-not-found,paneerbutter
100,food,tomato
101,food,date
102,food,chutney
103,word-not-found,latereview
104,food,kebabs
105,food,boards
106,word-not-found,untill
107,food,tikkis
108,food,lamb
109,food,biriyani
110,word-not-found,jamun
111,word-not-found,sizzler
112,food,tikki
113,word-not-found,malai
114,food,cocktails
115,food,mocktails
116,word-not-found,coz
