Rating,Review
4.0,"This was my favourite destination for North Indian food in Bangalore...they have moved to new place and now no dine in only delivery/take away...I have ordered dal makhani meal, naan and lassi...somehow this time I felt the quality is reduced bcoz of price war..lassi was awesome..."
3.0,"Causal rooftop dine-in. Went for dinner with friends. Average veg food. Reasonable pricing. Dhabha-style seating. Good for large group, spacious seating."
1.0,Very bad taste of the food. It was all stale and also the quantity was very less
3.0,"Decent ambience. The starters were good. We had the lal mirch tikka, paneer tikka and the mutton seekh. Rotis and curry were okay, not that great. Pricing is economical. Overall an average experience."
5.0,First-time we came here for Team lunch and then we used to come here for regular dinner hangouts with my friends. Verity of North Indian food items are available. Almost all items are so good in taste. Normal wait time for your food get to prepare. Lassi is so nice and will fill your tummy. Nice hindi and Punjabi songs will be playing always. Good in service.
4.0,"The food is so delicious,it makes you feel you are just Zero Miles away from Punjab,otherwise speaking that you are in Punjab itself. Though the ambience is not that great but it surely is a pocket friendly place which earns it more stars. A must visit place for a Punjabi food lover. Speciality here is the Gudd ki lassi."
1.0,Ordered Dal Palak and Steamed rice on Zomato delivery. It can't get simpler than that! The Dal Palak was watery and there was dirt at the bottom! Steamed rice had a piece of nylon rope! Am at a loss for words!
4.0,I always order from here..  But this was not the starting.. Well..  So it's started like this..  Bangalore is very popular for Traffic we all know and aware and experienced that..  So we are stuck in traffic near Bommanahalli.. Because my office was there and my boyfriend came to pick me up ( Rare things sometimes happens..).. So we decided to visit some place near to HSR.. Because we both were hungry at that time..  So we ended up here..  And i fell in love with the taste.. Umm.. Everything is perfectly proportioned..  Quality : Tastyyy in one word..  Quantity : Enough for 2 persons even if you are too much hungry also..  Service : Very polite.. Service was good..  So how it started i mentioned.. Now it's a never ending story..  I actually order from here every 2days later..  #Shikanjeeamfanof #PeasPulao #Butterchicken #Lassi #Everydisheshereilove   #Ithinkamgonnaordernowagain #Mytastebudstartedmissingthem   So overall still very nice experience..
3.0,"The place sort of looks like a dhaba. Expected better food and was disappointed. Among the dishes ordered, only the mutton seekh and the chicken kabab were somewhat good. Also the lassi was nice. Otherwise it was a pretty average experience."
1.0,This is the sixth time we visited the place but for sure it was the last visit. The service and food quality both have fallen drastically. The order took 40 mins to come and we also noticed that the delivery persons were being given priority. When it comes to the food we ordered their special CK47 and Egg Curry with Punjabi Twist. Both the gravies were very tangy/sour and the CK47 was inedible. Felt like a whole sauce bottle was dropped. It was everything other than spicy. Would not recommend the place after todays visit at all.
2.0,Overall it's Ok Ok type... I won't say it's bad but not that good though. Almost all dishes are plain in taste. One good thing is that less oily and spices may be that's the reason. Staff is friendly and service is good. Given 2 stars because i feel price is slightly high in compare with taste. Can suggest for just a casual meal but not a place to throw a party.
4.0,Quite a unique restaurant which keeps its quality every time you visit...authentic north indian punjabi food is damn awesome...best dal makhani in Bengaluru perhaps and add to it their Peshawari kulcha...with jaggery lassi...and you are on for a delicious treat...keep it up...
2.0,"We went there for dinner with friends. Ordered paneer tikka and mushroom starter. Paneer tikka was not roasted properly and mushroom had raw taste. In main course, we ordered dal makhani, jeera rice, butter naan and paneer do pyaza. They were very plain in taste, no proper spice and salt and also the gravy was undercooked. I am giving 2 stars only for the dessert gulab jamun and lassi"
4.0,The place sort of looks like a dhaba. Had the rotis kebabs and the lassi. The kebabs and the lassi were excellent. Pocket friendly place which is definitely worth visiting once.
4.0,"Its an exclusively punjabi, family restaurant.If you love North Indian dhabbha food, this is the place you are looking for.  -Location :Main road, no worries. -Ambience :Beautiful, rooftop, homely. -Food:Exclusively North Indian, great at its taste. -Service :Polite."
4.0,"Came here last week. Had kebabs, tandooris and lassis. Did not try anything else. But i loved the kebabs here. U can try a variety of kebabs here."
4.0,"Very good place for punjabi foodies. Authentic bitter chicken with tandoori roti. Those tandoori starters, and sweet lassi. Its hard to focus on diet when you are at such a place. Nice ambience, good food. A good place to be at."
5.0,"Its a very good option to have food from here, ordered kadai panner from here and the taste is absolutely amazing and tasty, the curry portion , taste and spices and panner is properly cooked making overall experience of food taste and quality amazing. u should try out once here."
2.0,"the food wasn't at all ""Punjabi"""
4.0,"Good place, great food. We went on an evening with friends and it turned out to be really good. Vegetarian food were delicious and do try their lassi. They serve food on roof top with some bollywood music."
5.0,"Checked in to this place with absolutely no expectations and was pleasantly taken by the authenticity in taste of each item served to us. I've rated below the dishes we ordered.  Dal makhani - 4.5/5 Paneer tikka masala - 3.5/5 Amritsari Kulcha - 4/5 Peshawari Kulcha - 3/5 Tandoori Roti - 4/5 Gur Lassi - 4.5/5 Plain Lassi - 4/5 Butter milk - 4.5/5  Ambiance - 3.5/5 Service - 4.5/5  Pros : Friendly owner, quick service, tasty& authentic food, reasonably priced items  Cons: not easy to locate  Must try - Dal makhani and Gur Lassi  Head to this place for some real good Punjabi food."
1.0,"today I ordered tandoori chicken, it was too bad to taste, I will never order again, very disappointed. very bad food quality and the delivery boy was too rude."
4.0,Authentic Punjabi Taste Wow Food... Staters are Just Awesome.. The only thing is Service is not great as food but worth waiting if get taste
5.0,Wanna explore punjabi food best place to carve out is zero mile punjab chicken chatkora is just finger licking... sikanji is one of the best welcome drinks  to have and wil refresh you.
